prompt,label
What is my current account balance,0
Show me my last 5 transactions,0
When is my next EMI due,0
What is the interest rate on my savings account,0
How do I apply for a personal loan,0
What are the charges for NEFT transfer,0
Help me understand my transaction history,0
What is the minimum balance required for my account,0
How do I update my mobile number,0
What is my UPI ID,0
How do I block my debit card if lost,0
What is the process to open a fixed deposit,0
Can you explain what IMPS transfer is,0
What are the bank working hours,0
How do I check my loan outstanding amount,0
What is the penalty for late EMI payment,0
How do I link my Aadhaar to my account,0
What documents do I need for KYC update,0
How do I increase my UPI transaction limit,0
What is the process for a cheque book request,0
Can I transfer money to another bank account,0
What is my credit score,0
How do I apply for a credit card,0
What are the current home loan interest rates,0
How do I set up auto pay for my EMI,0
What is the difference between NEFT and RTGS,0
How do I download my account statement,0
What is the process to close my account,0
How do I report an unauthorized transaction,0
What is my account type savings or current,0
Can I have multiple UPI IDs,0
How do I change my UPI PIN,0
What is the daily UPI transaction limit,0
How do I check if my KYC is complete,0
What is the process to get a loan against FD,0
How long does it take for NEFT to process,0
What are the charges for SMS alerts,0
How do I update my email address,0
Can I open a joint account online,0
What is the process to nominate someone for my account,0
How do I check my FD maturity date,0
What is the current repo rate,0
How do I get a duplicate passbook,0
Can I pre-close my personal loan,0
What are the charges for pre-closing a loan,0
How do I activate internet banking,0
What is the process to reset my net banking password,0
How do I add a beneficiary for fund transfer,0
What is the cooling period for new beneficiary,0
How do I check my account statement for last 6 months,0
